,ID,Fullname,Park Code,URL,State,Lat & long,Types of Activities
0,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,Abraham Lincoln Birthplace National Historical Park,abli,https://www.nps.gov/abli/index.htm,KY,"lat:37.5858662, long:-85.67330523",14
1,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Acadia National Park,acad,https://www.nps.gov/acad/index.htm,ME,"lat:44.409286, long:-68.247501",46
2,E4C7784E-66A0-4D44-87D0-3E072F5FEF43,Adams National Historical Park,adam,https://www.nps.gov/adam/index.htm,MA,"lat:42.2553961, long:-71.01160356",6
3,1A47416F-DAA3-4137-9F30-14AF86B4E547,African American Civil War Memorial,afam,https://www.nps.gov/afam/index.htm,DC,"lat:38.9166, long:-77.026",2
4,E6E1D22A-7A89-47F8-813C-B611059A8CF9,African Burial Ground National Monument,afbg,https://www.nps.gov/afbg/index.htm,NY,"lat:40.71452681, long:-74.00447358",7
5,64B9F127-31ED-43C9-882D-D7CD471AF314,Agate Fossil Beds National Monument,agfo,https://www.nps.gov/agfo/index.htm,NE,"lat:42.42170419, long:-103.753886",16
6,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1,Ala Kahakai National Historic Trail,alka,https://www.nps.gov/alka/index.htm,HI,"lat:19.144668109, long:-155.890734294",43
7,C4E1A9A4-D121-4734-94FA-7788A93C2AAA,Alagnak Wild River,alag,https://www.nps.gov/alag/index.htm,AK,"lat:59.05180188, long:-156.112002",12
8,7D6098F9-3F75-4775-A56D-CD9C7F9A9488,Alaska Public Lands,anch,https://www.nps.gov/anch/index.htm,AK,"lat:61.2188, long:-149.894536",0
9,C08AD828-98FF-478E-A63C-614E7534274B,Alcatraz Island,alca,https://www.nps.gov/alca/index.htm,CA,"lat:37.82676234, long:-122.4230206",5
10,94B046DC-2AFD-4ECB-A60D-CE210A8550B1,Aleutian Islands World War II National Historic Area,aleu,https://www.nps.gov/aleu/index.htm,AK,"lat:53.9143, long:-166.5197",7
11,6D82D070-995A-4524-A56E-C1CE182E7D9B,Alibates Flint Quarries National Monument,alfl,https://www.nps.gov/alfl/index.htm,TX,"lat:35.5819662, long:-101.6717008",7
12,3350C18C-8E07-487B-930E-37AD873D31AD,Allegheny Portage Railroad National Historic Site,alpo,https://www.nps.gov/alpo/index.htm,PA,"lat:40.42977467, long:-78.57431622",16
13,D35004EF-5F5A-4DA4-8716-5141BE5C933C,Amache National Historic Site,amch,https://www.nps.gov/amch/index.htm,CO,"lat:38.04962, long:-102.32903",0
14,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243,American Memorial Park,amme,https://www.nps.gov/amme/index.htm,MP,"lat:15.21680033, long:145.7231096",22
15,34CB30BA-8A5F-4563-AA34-6633708DD9DC,Amistad National Recreation Area,amis,https://www.nps.gov/amis/index.htm,TX,"lat:29.53539777, long:-101.075821",23
16,9463E25C-7342-4A34-9537-4A6DA74B2B06,Anacostia Park,anac,https://www.nps.gov/anac/index.htm,DC,"lat:38.8782, long:-76.9703",15
17,00E65872-53F7-4C9B-BD29-B9BC99930D0D,Andersonville National Historic Site,ande,https://www.nps.gov/ande/index.htm,GA,"lat:32.19831758, long:-84.12988898",19
18,2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8,Andrew Johnson National Historic Site,anjo,https://www.nps.gov/anjo/index.htm,TN,"lat:36.15624509, long:-82.83709021",5
19,7FF37F14-88C8-469E-A447-ACE6D9AF44D2,Aniakchak National Monument & Preserve,ania,https://www.nps.gov/ania/index.htm,AK,"lat:56.85317675, long:-157.5544362",11
20,8415526C-C932-4236-A634-2D89DF718936,Antietam National Battlefield,anti,https://www.nps.gov/anti/index.htm,MD,"lat:39.46763452, long:-77.73828017",17
21,D84122DD-1B0E-4D13-927C-5D6D2A0D200E,Apostle Islands National Lakeshore,apis,https://www.nps.gov/apis/index.htm,WI,"lat:46.96240467, long:-90.66045665",29
22,FAEF5684-83A4-4CF2-A701-60CF8D4014BD,Appalachian National Scenic Trail,appa,https://www.nps.gov/appa/index.htm,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV","lat:40.41029575, long:-76.4337548",18
23,16CCCC56-1DC1-47D6-AE91-E939955BFC53,Appomattox Court House National Historical Park,apco,https://www.nps.gov/apco/index.htm,VA,"lat:37.38022164, long:-78.79856982",26
24,36240051-018E-4915-B6EA-3F1A7F24FBE4,Arches National Park,arch,https://www.nps.gov/arch/index.htm,UT,"lat:38.72261844, long:-109.5863666",18
25,6876F4F4-9B8F-4648-89EA-C1BBF770C494,Arkansas Post National Memorial,arpo,https://www.nps.gov/arpo/index.htm,AR,"lat:34.00389998, long:-91.30837178",25
